Model,MAE,RMSE,R2,MAPE
Static Model,4211.868885977324,6100.867910606343,0.9947814512150503,1.8451641829015306
DriftGuard,4189.247650749875,6039.549422663606,0.9948858250297262,1.8441943775716996
