Metric,Value
Training MAE,2026.8352810968008
Training RMSE,3078.3607271457863
Training R2,0.9986224787330124
Final Test MAE,4189.247650749875
Final Test RMSE,6039.549422663606
Final Test R2,0.9948858250297262
R2 Generalization Gap,0.0037366537032861302
Test/Train MAE Ratio,2.0668910245547467
