month,month_name,MAE,RMSE,MAPE,average_ks_drift,maximum_ks_drift
1,January,3356.956171930773,5145.167070690559,1.8770902861347858,0.24174525682040346,0.921028466483012
2,February,2350.6120535685263,3174.303172978783,1.271927673982253,0.22977070716180567,0.8429752066115702
3,March,3054.394767957459,5850.79134025409,36.67120894938232,0.23061088030846097,0.9146005509641874
4,April,3675.8871023051997,4958.399144587859,1.7599203399653343,0.23040793031323337,0.8319559228650137
5,May,4246.518952790504,5766.4889027951895,1.9146352992047995,0.2585879876477384,0.7465564738292011
6,June,4521.036432333151,6449.855464878022,1.8897669053931085,0.28209414217936946,0.9173553719008265
7,July,4303.428031724409,5877.316046643129,1.6268558830475277,0.3059022223703309,0.8319559228650137
8,August,5000.3577403662675,6872.057849674559,1.8708827003510222,0.32867243632150767,0.9117309458218549
9,September,4360.572584596253,6132.360650641191,1.7422909005841376,0.321952479338843,0.9173553719008265
10,October,4934.813483334791,8184.888849987209,2.1061384250296196,0.3006912662796094,0.8319559228650137
11,November,3387.5012586027838,4629.760358138848,1.7105625049032318,0.2547802838996021,0.8319559228650137
12,December,3450.2094786862294,5198.619988487748,1.9764827965362803,0.232748324726575,0.9146005509641874
