Metric,Static,Adaptive_V3,Improvement_%
MAE,3898.394784289161,3817.8330258926367,2.066536686361134
RMSE,5828.830669703622,5557.043994826791,4.662799286475937
sMAPE,1.7999801171039147,1.762839513426351,2.063389663288125
