Model,MAE,RMSE,R2,sMAPE,Retraining_Events
Static Model,3898.394784289161,5828.830669703622,0.9946992311550932,1.7999801171039147,0
One-Time DriftGuard,3867.5331867670566,5815.26796504373,0.9947238704439058,1.7874372251678674,1
Adaptive DriftGuard V3,3817.8330258926367,5557.043994826791,0.9933923436076881,1.762839513426351,7
